candidate_dataset_mention_original,normalized_mention,mapped_dataset_id,preferred_dataset_name,dataset_provider,mapping_status,mapping_confidence,documents_referencing_raw_string,total_page_rows_raw_string,total_page_occurrences_raw_string,match_type_stageA,candidate_family_hint_stageA,stageB_notes
datasets,datasets,,,,generic_cue_not_canonicalized,low,38,165,453,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
database,database,,,,generic_cue_not_canonicalized,low,36,88,126,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
data sources,data sources,,,,generic_cue_not_canonicalized,low,35,96,141,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
satellite imagery,satellite imagery,,,,generic_cue_not_canonicalized,low,28,101,132,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
databases,databases,,,,generic_cue_not_canonicalized,low,27,64,99,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Global Forest Watch,global forest watch,DS-007,Global Forest Watch,World Resources Institute,canonicalized,high,27,69,96,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
dataset,dataset,,,,generic_cue_not_canonicalized,low,24,119,286,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
PRODES,prodes,DS-001,PRODES Amazônia — Monitoramento do Desmatamento da Floresta Amazônica Brasileira por Satélite,Instituto Nacional de Pesquisas Espaciais (INPE),canonicalized,high,22,77,171,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
satellite data,satellite data,,,,generic_cue_not_canonicalized,low,22,32,37,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
HCV,hcv,,,,framework_or_assessment_reference_needs_review,medium,21,189,791,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
Landsat,landsat,DS-014,Landsat satellite imagery,U.S. Geological Survey / NASA,canonicalized,high,20,54,102,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
planet,planet,DS-017,Planet satellite imagery / NICFI Satellite Data Program,Planet Labs / Norway International Climate and Forest Initiative,canonicalized,high,20,25,32,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
CAR,car,DS-018,Cadastro Ambiental Rural (CAR) / SICAR,Serviço Florestal Brasileiro / Government of Brazil,canonicalized,high,19,74,175,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
Hansen,hansen,DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,canonicalized,high,19,54,99,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
satellite images,satellite images,,,,generic_cue_not_canonicalized,low,19,53,63,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
GFW,gfw,DS-007,Global Forest Watch,World Resources Institute,canonicalized,high,18,92,274,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
Trase,trase,DS-026,Trase / SEI-PCS supply chain mapping data,Trase / Stockholm Environment Institute / Global Canopy,canonicalized,high,18,90,219,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
Soy Moratorium,soy moratorium,DS-025,Soy Moratorium monitoring data,Soy Moratorium Working Group / ABIOVE and partners,canonicalized,high,18,53,102,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Sentinel,sentinel,DS-015,Copernicus Sentinel satellite imagery,European Space Agency / Copernicus,canonicalized,high,17,47,100,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
High Conservation Value,high conservation value,,,,framework_or_assessment_reference_needs_review,medium,17,39,53,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
Database,database,,,,generic_cue_not_canonicalized,low,16,38,62,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
geospatial data,geospatial data,,,,generic_cue_not_canonicalized,low,15,32,39,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
tree cover loss,tree cover loss,DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,canonicalized,high,14,46,104,seed_term,seed term,Mapped by curated Stage B variant dictionary.
spatial data,spatial data,,,,generic_cue_not_canonicalized,low,14,15,16,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
GLAD,glad,DS-009,GLAD Deforestation Alerts,University of Maryland GLAD Lab / Global Forest Watch,canonicalized,high,13,40,66,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
MapBiomas,mapbiomas,DS-005,MapBiomas Annual Land Cover and Land Use Collection,Projeto MapBiomas,canonicalized,high,13,32,66,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
IBAMA,ibama,DS-019,IBAMA environmental embargo registry,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA),canonicalized,high,13,29,46,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
remote sensing data,remote sensing data,,,,generic_cue_not_canonicalized,low,13,25,32,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Amazon Soy Moratorium,amazon soy moratorium,DS-025,Soy Moratorium monitoring data,Soy Moratorium Working Group / ABIOVE and partners,canonicalized,high,13,19,21,seed_term,seed term,Mapped by curated Stage B variant dictionary.
DETER,deter,DS-003,DETER — Detecção do Desmatamento em Tempo Real,Instituto Nacional de Pesquisas Espaciais (INPE),canonicalized,high,13,18,20,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
JRC,jrc,DS-011,JRC Tropical Moist Forest maps,European Commission Joint Research Centre,canonicalized,high,12,46,83,seed_term,seed term,Mapped by curated Stage B variant dictionary.
IBGE,ibge,,,,unmapped_needs_review,low,12,26,30,seed_term,official registry / boundary / compliance list,No Stage B canonical mapping assigned. Review context snippets before Stage C.
data sets,data sets,,,,generic_cue_not_canonicalized,low,12,25,30,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
deforestation alerts,deforestation alerts,,,,generic_cue_not_canonicalized,low,12,18,20,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Data sources,data sources,,,,generic_cue_not_canonicalized,low,11,18,26,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
HCSA,hcsa,,,,framework_or_assessment_reference_needs_review,medium,11,17,23,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
NASA,nasa,,,,unmapped_needs_review,low,11,19,21,seed_term,remote sensing imagery/source,No Stage B canonical mapping assigned. Review context snippets before Stage C.
ArcGIS,arcgis,,,,tool_or_platform_not_dataset,medium,10,26,44,seed_term,seed term,Software/platform reference retained but excluded from canonical dataset registry unless analytically needed.
Planet,planet,DS-017,Planet satellite imagery / NICFI Satellite Data Program,Planet Labs / Norway International Climate and Forest Initiative,canonicalized,high,10,24,30,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
Indigenous Lands,indigenous lands,DS-020,FUNAI Terras Indígenas geospatial data,Fundação Nacional dos Povos Indígenas (FUNAI),canonicalized,high,10,21,29,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
Sentinel-2,sentinel 2,DS-015,Copernicus Sentinel satellite imagery,European Space Agency / Copernicus,canonicalized,high,10,22,29,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
High Carbon Stock Approach,high carbon stock approach,,,,framework_or_assessment_reference_needs_review,medium,10,15,16,seed_term,official registry / boundary / compliance list,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
Agrosatélite,agrosatelite,DS-040,Agrosatélite mapping products,Agrosatélite,canonicalized,high,9,21,32,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Dataset,dataset,,,,generic_cue_not_canonicalized,low,9,17,26,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Mapbiomas,mapbiomas,DS-005,MapBiomas Annual Land Cover and Land Use Collection,Projeto MapBiomas,canonicalized,high,9,14,21,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
Copernicus,copernicus,DS-012,Copernicus Global Land Cover / Global Dynamic Land Cover,Copernicus Land Monitoring Service,canonicalized,high,9,13,16,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
data source,data source,,,,generic_cue_not_canonicalized,low,9,12,16,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
MODIS,modis,DS-016,MODIS satellite data,NASA,canonicalized,high,8,19,30,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
ESA,esa,DS-013,ESA WorldCover,European Space Agency,canonicalized,high,8,23,26,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
Sentinel-1,sentinel 1,DS-015,Copernicus Sentinel satellite imagery,European Space Agency / Copernicus,canonicalized,high,8,17,25,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
data set,data set,,,,generic_cue_not_canonicalized,low,8,12,19,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
deforestation data,deforestation data,,,,generic_cue_not_canonicalized,low,8,13,17,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Global Forest Change,global forest change,DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,canonicalized,high,8,12,16,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
SICAR,sicar,DS-018,Cadastro Ambiental Rural (CAR) / SICAR,Serviço Florestal Brasileiro / Government of Brazil,canonicalized,high,8,9,16,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
INCRA,incra,DS-023,INCRA/SIGEF/SNCI rural land tenure geospatial systems,Instituto Nacional de Colonização e Reforma Agrária (INCRA),canonicalized,high,8,10,13,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
shapefile,shapefile,,,,generic_cue_not_canonicalized,low,8,11,13,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Datasets,datasets,,,,generic_cue_not_canonicalized,low,7,10,25,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
WDPA,wdpa,DS-022,WDPA — World Database on Protected Areas,UNEP-WCMC & IUCN,canonicalized,high,7,11,22,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
Tree Cover Loss,tree cover loss,DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,canonicalized,high,7,13,21,seed_term,seed term,Mapped by curated Stage B variant dictionary.
RADD,radd,DS-010,RADD Forest Disturbance Alerts,"Wageningen University, Satelligence & World Resources Institute",canonicalized,high,7,11,15,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
SIGEF,sigef,DS-023,INCRA/SIGEF/SNCI rural land tenure geospatial systems,Instituto Nacional de Colonização e Reforma Agrária (INCRA),canonicalized,high,7,9,15,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
indigenous lands,indigenous lands,DS-020,FUNAI Terras Indígenas geospatial data,Fundação Nacional dos Povos Indígenas (FUNAI),canonicalized,high,7,12,15,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
land cover map,land cover map,,,,generic_cue_not_canonicalized,low,7,11,14,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
satellite image,satellite image,,,,generic_cue_not_canonicalized,low,7,11,13,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Prodes,prodes,DS-001,PRODES Amazônia — Monitoramento do Desmatamento da Floresta Amazônica Brasileira por Satélite,Instituto Nacional de Pesquisas Espaciais (INPE),canonicalized,high,7,9,11,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
boundary data,boundary data,,,,generic_cue_not_canonicalized,low,7,11,11,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
FUNAI,funai,DS-020,FUNAI Terras Indígenas geospatial data,Fundação Nacional dos Povos Indígenas (FUNAI),canonicalized,high,7,8,9,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
Conservation Units,conservation units,DS-021,CNUC — Cadastro Nacional de Unidades de Conservação,Ministério do Meio Ambiente e Mudança do Clima (Brazil),canonicalized,high,6,19,35,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
HCVRN,hcvrn,,,,framework_or_assessment_reference_needs_review,medium,6,22,33,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
Universal Mill List,universal mill list,DS-027,Universal Mill List,Rainforest Alliance / World Resources Institute / Proforest / Daemeter,canonicalized,high,6,19,22,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
QGIS,qgis,,,,tool_or_platform_not_dataset,medium,6,15,19,seed_term,seed term,Software/platform reference retained but excluded from canonical dataset registry unless analytically needed.
Rural Environmental Registry,rural environmental registry,DS-018,Cadastro Ambiental Rural (CAR) / SICAR,Serviço Florestal Brasileiro / Government of Brazil,canonicalized,high,6,13,17,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Tree cover loss,tree cover loss,DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,canonicalized,high,6,9,16,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Earth Engine,earth engine,DS-037,Google Earth Engine,Google,canonicalized,high,6,11,14,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Google Earth Engine,google earth engine,DS-037,Google Earth Engine,Google,canonicalized,high,6,10,11,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Cadastro Ambiental Rural,cadastro ambiental rural,DS-018,Cadastro Ambiental Rural (CAR) / SICAR,Serviço Florestal Brasileiro / Government of Brazil,canonicalized,high,6,10,10,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
Forest 500,forest 500,DS-029,Forest 500 datasets,Global Canopy,canonicalized,high,5,31,99,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
polygon data,polygon data,,,,generic_cue_not_canonicalized,low,5,22,46,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
GFW Pro,gfw pro,DS-007,Global Forest Watch,World Resources Institute,canonicalized,high,5,15,22,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
Geospatial data,geospatial data,,,,generic_cue_not_canonicalized,low,5,10,17,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
HCV assessments,hcv assessments,,,,framework_or_assessment_reference_needs_review,medium,5,15,17,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
Satellite Imagery,satellite imagery,,,,generic_cue_not_canonicalized,low,5,8,16,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
MAPBIOMAS,mapbiomas,DS-005,MapBiomas Annual Land Cover and Land Use Collection,Projeto MapBiomas,canonicalized,high,5,5,15,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
WHISP,whisp,DS-030,Whisp — convergence-of-evidence forest-data solution,Forest Data Partnership / AIM4Forests,canonicalized,high,5,11,14,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
shapefiles,shapefiles,,,,generic_cue_not_canonicalized,low,5,9,14,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Terras Indígenas,terras indigenas,DS-020,FUNAI Terras Indígenas geospatial data,Fundação Nacional dos Povos Indígenas (FUNAI),canonicalized,high,5,11,13,seed_term,seed term,Mapped by curated Stage B variant dictionary.
PRODES Cerrado,prodes cerrado,DS-002,PRODES Cerrado — Monitoramento Anual da Supressão da Vegetação Nativa no Cerrado,Instituto Nacional de Pesquisas Espaciais (INPE),canonicalized,high,5,6,11,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
land cover maps,land cover maps,,,,generic_cue_not_canonicalized,low,5,9,9,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
deforestation alert,deforestation alert,,,,generic_cue_not_canonicalized,low,5,6,8,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
trase,trase,DS-026,Trase / SEI-PCS supply chain mapping data,Trase / Stockholm Environment Institute / Global Canopy,canonicalized,high,5,5,8,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
NICFI,nicfi,DS-017,Planet satellite imagery / NICFI Satellite Data Program,Planet Labs / Norway International Climate and Forest Initiative,canonicalized,high,5,7,7,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
World Database on Protected Areas,world database on protected areas,DS-022,WDPA — World Database on Protected Areas,UNEP-WCMC & IUCN,canonicalized,high,5,6,6,seed_term,seed term,Mapped by curated Stage B variant dictionary.
GeoRSPO,georspo,DS-028,GeoRSPO,Roundtable on Sustainable Palm Oil (RSPO) / World Resources Institute,canonicalized,high,4,10,23,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
risk map,risk map,,,,generic_cue_not_canonicalized,low,4,9,22,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Data Sources,data sources,,,,generic_cue_not_canonicalized,low,4,6,14,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
deforestation alert system,deforestation alert system,DS-009,GLAD Deforestation Alerts,University of Maryland GLAD Lab / Global Forest Watch,canonicalized,high,4,5,9,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
Shapefile,shapefile,,,,generic_cue_not_canonicalized,low,4,5,8,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
risk maps,risk maps,,,,generic_cue_not_canonicalized,low,4,6,8,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Deforestation data,deforestation data,,,,generic_cue_not_canonicalized,low,4,6,7,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
land cover data,land cover data,,,,generic_cue_not_canonicalized,low,4,6,7,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
ACOP,acop,,,,unmapped_needs_review,low,4,5,5,seed_term,platform/tool/derived dataset,No Stage B canonical mapping assigned. Review context snippets before Stage C.
Google Maps,google maps,,,,tool_or_platform_not_dataset,medium,4,5,5,seed_term,seed term,Software/platform reference retained but excluded from canonical dataset registry unless analytically needed.
Unidades de Conservação,unidades de conservacao,DS-021,CNUC — Cadastro Nacional de Unidades de Conservação,Ministério do Meio Ambiente e Mudança do Clima (Brazil),canonicalized,high,4,4,5,seed_term,seed term,Mapped by curated Stage B variant dictionary.
land use map,land use map,,,,generic_cue_not_canonicalized,low,4,5,5,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Data source,data source,,,,generic_cue_not_canonicalized,low,4,4,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
MAPBIOMAS Alerta,mapbiomas alerta,DS-006,MapBiomas Alerta,Projeto MapBiomas,canonicalized,high,4,4,4,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
Satellite images,satellite images,,,,generic_cue_not_canonicalized,low,4,4,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
map layers,map layers,,,,generic_cue_not_canonicalized,low,4,4,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
UML,uml,DS-027,Universal Mill List,Rainforest Alliance / World Resources Institute / Proforest / Daemeter,canonicalized,high,3,14,100,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Sourcing Hub,sourcing hub,DS-031,Preferred by Nature Sourcing Hub risk data,Preferred by Nature,canonicalized,high,3,9,19,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
FAOSTAT,faostat,DS-033,FAOSTAT,Food and Agriculture Organization of the United Nations,canonicalized,high,3,9,13,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Geospatial Data,geospatial data,,,,generic_cue_not_canonicalized,low,3,5,10,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
