candidate_dataset_mention_original,normalized_mention,mapped_dataset_id,preferred_dataset_name,dataset_provider,mapping_status,mapping_confidence,documents_referencing_raw_string,total_page_rows_raw_string,total_page_occurrences_raw_string,match_type_stageA,candidate_family_hint_stageA,stageB_notes
remote sensing products,remote sensing products,,,,generic_cue_not_canonicalized,low,3,3,9,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
high conservation value,high conservation value,,,,framework_or_assessment_reference_needs_review,medium,3,5,8,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
map layer,map layer,,,,generic_cue_not_canonicalized,low,3,6,8,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Databases,databases,,,,generic_cue_not_canonicalized,low,3,3,7,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Lista Suja,lista suja,DS-024,Cadastro de Empregadores — trabalho análogo à escravidão (“Lista Suja”),Ministério do Trabalho e Emprego (Brazil),canonicalized,high,3,3,6,seed_term,seed term,Mapped by curated Stage B variant dictionary.
deforestation layer,deforestation layer,,,,generic_cue_not_canonicalized,low,3,5,6,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
concession boundaries,concession boundaries,,,,generic_cue_not_canonicalized,low,3,4,5,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
GIS data,gis data,,,,generic_cue_not_canonicalized,low,3,4,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Open Foris,open foris,DS-039,Open Foris Collect Earth,Food and Agriculture Organization of the United Nations,canonicalized,high,3,4,4,seed_term,seed term,Mapped by curated Stage B variant dictionary.
deforestation dataset,deforestation dataset,,,,generic_cue_not_canonicalized,low,3,4,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
HCSA assessments,hcsa assessments,,,,framework_or_assessment_reference_needs_review,medium,3,3,3,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
Terra-i,terra i,DS-036,Terra-i,Alliance of Bioversity International and CIAT / partners,canonicalized,high,3,3,3,seed_term,seed term,Mapped by curated Stage B variant dictionary.
land use data,land use data,,,,generic_cue_not_canonicalized,low,3,3,3,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
mapbiomas,mapbiomas,DS-005,MapBiomas Annual Land Cover and Land Use Collection,Projeto MapBiomas,canonicalized,high,3,3,3,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
FREL,frel,,,,unmapped_needs_review,low,2,36,178,seed_term,seed term,No Stage B canonical mapping assigned. Review context snippets before Stage C.
SEI-PCS,sei pcs,DS-026,Trase / SEI-PCS supply chain mapping data,Trase / Stockholm Environment Institute / Global Canopy,canonicalized,high,2,13,71,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
Whisp,whisp,DS-030,Whisp — convergence-of-evidence forest-data solution,Forest Data Partnership / AIM4Forests,canonicalized,high,2,15,46,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
land cover datasets,land cover datasets,,,,generic_cue_not_canonicalized,low,2,11,13,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Agroideal,agroideal,DS-032,Agroideal,Agroideal,canonicalized,high,2,6,11,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
Collect Earth,collect earth,DS-039,Open Foris Collect Earth,Food and Agriculture Organization of the United Nations,canonicalized,high,2,7,10,seed_term,seed term,Mapped by curated Stage B variant dictionary.
boundary map,boundary map,,,,generic_cue_not_canonicalized,low,2,10,10,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Satellite imagery,satellite imagery,,,,generic_cue_not_canonicalized,low,2,6,9,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Satellite Data,satellite data,,,,generic_cue_not_canonicalized,low,2,5,8,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
arcgis,arcgis,,,,tool_or_platform_not_dataset,medium,2,7,8,seed_term,seed term,Software/platform reference retained but excluded from canonical dataset registry unless analytically needed.
DATABASE,database,,,,generic_cue_not_canonicalized,low,2,2,6,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Deforestation Alert,deforestation alert,,,,generic_cue_not_canonicalized,low,2,3,6,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
SRTM,srtm,,,,unmapped_needs_review,low,2,4,5,seed_term,remote sensing imagery/source,No Stage B canonical mapping assigned. Review context snippets before Stage C.
Agrosatelite,agrosatelite,DS-040,Agrosatélite mapping products,Agrosatélite,canonicalized,high,2,3,4,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Embargo List,embargo list,DS-019,IBAMA environmental embargo registry,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA),canonicalized,high,2,3,4,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
Preferred by Nature Sourcing Hub,preferred by nature sourcing hub,DS-031,Preferred by Nature Sourcing Hub risk data,Preferred by Nature,canonicalized,high,2,3,4,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
Remote sensing data,remote sensing data,,,,generic_cue_not_canonicalized,low,2,3,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
agrosatelite,agrosatelite,DS-040,Agrosatélite mapping products,Agrosatélite,canonicalized,high,2,4,4,seed_term,seed term,Mapped by curated Stage B variant dictionary.
deforestation map,deforestation map,,,,generic_cue_not_canonicalized,low,2,2,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
land use maps,land use maps,,,,generic_cue_not_canonicalized,low,2,4,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Deforestation Alerts,deforestation alerts,,,,generic_cue_not_canonicalized,low,2,2,3,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Hansen Tree Cover Loss,hansen tree cover loss,DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,canonicalized,high,2,3,3,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
High conservation value,high conservation value,,,,framework_or_assessment_reference_needs_review,medium,2,2,3,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
SEPAL,sepal,DS-038,SEPAL,Food and Agriculture Organization of the United Nations,canonicalized,high,2,3,3,seed_term,seed term,Mapped by curated Stage B variant dictionary.
USGS,usgs,,,,unmapped_needs_review,low,2,3,3,seed_term,remote sensing imagery/source,No Stage B canonical mapping assigned. Review context snippets before Stage C.
GLAD alerts,glad alerts,DS-009,GLAD Deforestation Alerts,University of Maryland GLAD Lab / Global Forest Watch,canonicalized,high,2,2,2,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
MapBiomas Alerta,mapbiomas alerta,DS-006,MapBiomas Alerta,Projeto MapBiomas,canonicalized,high,2,2,2,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
MapBiomas Collection,mapbiomas collection,DS-005,MapBiomas Annual Land Cover and Land Use Collection,Projeto MapBiomas,canonicalized,high,2,2,2,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
MapHubs,maphubs,,,,tool_or_platform_not_dataset,medium,2,2,2,seed_term,seed term,Software/platform reference retained but excluded from canonical dataset registry unless analytically needed.
OpenStreetMap,openstreetmap,DS-034,OpenStreetMap,OpenStreetMap contributors / OpenStreetMap Foundation,canonicalized,high,2,2,2,seed_term,seed term,Mapped by curated Stage B variant dictionary.
PRODES Amazônia,prodes amazonia,DS-001,PRODES Amazônia — Monitoramento do Desmatamento da Floresta Amazônica Brasileira por Satélite,Instituto Nacional de Pesquisas Espaciais (INPE),canonicalized,high,2,2,2,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
Risk Map,risk map,,,,generic_cue_not_canonicalized,low,2,2,2,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Satellite Images,satellite images,,,,generic_cue_not_canonicalized,low,2,2,2,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Spatial Data,spatial data,,,,generic_cue_not_canonicalized,low,2,2,2,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Spatial data,spatial data,,,,generic_cue_not_canonicalized,low,2,2,2,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
prodes,prodes,DS-001,PRODES Amazônia — Monitoramento do Desmatamento da Floresta Amazônica Brasileira por Satélite,Instituto Nacional de Pesquisas Espaciais (INPE),canonicalized,high,2,2,2,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
remote sensing imagery,remote sensing imagery,,,,generic_cue_not_canonicalized,low,2,2,2,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
soy moratorium,soy moratorium,DS-025,Soy Moratorium monitoring data,Soy Moratorium Working Group / ABIOVE and partners,canonicalized,high,2,2,2,seed_term,seed term,Mapped by curated Stage B variant dictionary.
whisp,whisp,DS-030,Whisp — convergence-of-evidence forest-data solution,Forest Data Partnership / AIM4Forests,canonicalized,high,2,2,2,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
RISK MAPS,risk maps,,,,generic_cue_not_canonicalized,low,1,12,29,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
EQUIVALENCE MECHANISM,equivalence mechanism,,,,framework_or_assessment_reference_needs_review,medium,1,15,23,seed_term,platform/tool/derived dataset,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
HCV ASSESSMENTS,hcv assessments,,,,framework_or_assessment_reference_needs_review,medium,1,10,16,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
Data Source,data source,,,,generic_cue_not_canonicalized,low,1,9,9,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Equivalence Mechanism,equivalence mechanism,,,,framework_or_assessment_reference_needs_review,medium,1,4,9,seed_term,platform/tool/derived dataset,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
Shapefiles,shapefiles,,,,generic_cue_not_canonicalized,low,1,1,6,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
DATA SOURCES,data sources,,,,generic_cue_not_canonicalized,low,1,5,5,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Polygon data,polygon data,,,,generic_cue_not_canonicalized,low,1,1,5,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
DATASETS,datasets,,,,generic_cue_not_canonicalized,low,1,1,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
DEFORESTATION ALERT,deforestation alert,,,,generic_cue_not_canonicalized,low,1,1,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Deforestation alert,deforestation alert,,,,generic_cue_not_canonicalized,low,1,4,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Land cover datasets,land cover datasets,,,,generic_cue_not_canonicalized,low,1,3,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
hansen,hansen,DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,canonicalized,high,1,2,4,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
GIS Data,gis data,,,,generic_cue_not_canonicalized,low,1,2,3,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
HCV Assessments,hcv assessments,,,,framework_or_assessment_reference_needs_review,medium,1,1,3,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
Agroicone,agroicone,,,,tool_or_platform_not_dataset,medium,1,2,2,seed_term,seed term,Software/platform reference retained but excluded from canonical dataset registry unless analytically needed.
FOREST 500,forest 500,DS-029,Forest 500 datasets,Global Canopy,canonicalized,high,1,1,2,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
Imazon,imazon,DS-035,Imazon SAD — Sistema de Alerta de Desmatamento,Imazon,canonicalized,high,1,2,2,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Land cover data,land cover data,,,,generic_cue_not_canonicalized,low,1,1,2,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Land use map,land use map,,,,generic_cue_not_canonicalized,low,1,1,2,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
SAD,sad,DS-035,Imazon SAD — Sistema de Alerta de Desmatamento,Imazon,canonicalized,high,1,2,2,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
Satellite data,satellite data,,,,generic_cue_not_canonicalized,low,1,2,2,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
UNIVERSAL MILL LIST,universal mill list,DS-027,Universal Mill List,Rainforest Alliance / World Resources Institute / Proforest / Daemeter,canonicalized,high,1,1,2,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
VIIRS,viirs,,,,unmapped_needs_review,low,1,2,2,seed_term,remote sensing imagery/source,No Stage B canonical mapping assigned. Review context snippets before Stage C.
deforestation maps,deforestation maps,,,,generic_cue_not_canonicalized,low,1,2,2,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
land cover dataset,land cover dataset,,,,generic_cue_not_canonicalized,low,1,2,2,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
polygon layer,polygon layer,,,,generic_cue_not_canonicalized,low,1,1,2,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
polygon layers,polygon layers,,,,generic_cue_not_canonicalized,low,1,2,2,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
terras indígenas,terras indigenas,DS-020,FUNAI Terras Indígenas geospatial data,Fundação Nacional dos Povos Indígenas (FUNAI),canonicalized,high,1,1,2,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Boundary Data,boundary data,,,,generic_cue_not_canonicalized,low,1,1,1,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Concession boundary,concession boundary,,,,generic_cue_not_canonicalized,low,1,1,1,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Conservation units,conservation units,DS-021,CNUC — Cadastro Nacional de Unidades de Conservação,Ministério do Meio Ambiente e Mudança do Clima (Brazil),canonicalized,high,1,1,1,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
Data sets,data sets,,,,generic_cue_not_canonicalized,low,1,1,1,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Deforestation Layer,deforestation layer,,,,generic_cue_not_canonicalized,low,1,1,1,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Deforestation alerts,deforestation alerts,,,,generic_cue_not_canonicalized,low,1,1,1,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
GFW PRO,gfw pro,DS-007,Global Forest Watch,World Resources Institute,canonicalized,high,1,1,1,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
GRASS,grass,,,,tool_or_platform_not_dataset,medium,1,1,1,seed_term,seed term,Software/platform reference retained but excluded from canonical dataset registry unless analytically needed.
Hansen tree cover loss,hansen tree cover loss,DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,canonicalized,high,1,1,1,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
Indigenous lands,indigenous lands,DS-020,FUNAI Terras Indígenas geospatial data,Fundação Nacional dos Povos Indígenas (FUNAI),canonicalized,high,1,1,1,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
LANDSAT,landsat,DS-014,Landsat satellite imagery,U.S. Geological Survey / NASA,canonicalized,high,1,1,1,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
LAPIG,lapig,,,,tool_or_platform_not_dataset,medium,1,1,1,seed_term,seed term,Software/platform reference retained but excluded from canonical dataset registry unless analytically needed.
Land Cover Map,land cover map,,,,generic_cue_not_canonicalized,low,1,1,1,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Land cover maps,land cover maps,,,,generic_cue_not_canonicalized,low,1,1,1,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Land use data,land use data,,,,generic_cue_not_canonicalized,low,1,1,1,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Map layer,map layer,,,,generic_cue_not_canonicalized,low,1,1,1,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Map layers,map layers,,,,generic_cue_not_canonicalized,low,1,1,1,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Maphubs,maphubs,,,,tool_or_platform_not_dataset,medium,1,1,1,seed_term,seed term,Software/platform reference retained but excluded from canonical dataset registry unless analytically needed.
OSM,osm,DS-034,OpenStreetMap,OpenStreetMap contributors / OpenStreetMap Foundation,canonicalized,high,1,1,1,seed_term,seed term,Mapped by curated Stage B variant dictionary.
PLANET,planet,DS-017,Planet satellite imagery / NICFI Satellite Data Program,Planet Labs / Norway International Climate and Forest Initiative,canonicalized,high,1,1,1,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
RADD alerts,radd alerts,DS-010,RADD Forest Disturbance Alerts,"Wageningen University, Satelligence & World Resources Institute",canonicalized,high,1,1,1,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
Risk maps,risk maps,,,,generic_cue_not_canonicalized,low,1,1,1,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
SNCI,snci,DS-023,INCRA/SIGEF/SNCI rural land tenure geospatial systems,Instituto Nacional de Colonização e Reforma Agrária (INCRA),canonicalized,high,1,1,1,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
TRASE,trase,DS-026,Trase / SEI-PCS supply chain mapping data,Trase / Stockholm Environment Institute / Global Canopy,canonicalized,high,1,1,1,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
Terra-I,terra i,DS-036,Terra-i,Alliance of Bioversity International and CIAT / partners,canonicalized,high,1,1,1,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Unidades de conservação,unidades de conservacao,DS-021,CNUC — Cadastro Nacional de Unidades de Conservação,Ministério do Meio Ambiente e Mudança do Clima (Brazil),canonicalized,high,1,1,1,seed_term,seed term,Mapped by curated Stage B variant dictionary.
conservation units,conservation units,DS-021,CNUC — Cadastro Nacional de Unidades de Conservação,Ministério do Meio Ambiente e Mudança do Clima (Brazil),canonicalized,high,1,1,1,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
copernicus,copernicus,DS-012,Copernicus Global Land Cover / Global Dynamic Land Cover,Copernicus Land Monitoring Service,canonicalized,high,1,1,1,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
embargo list,embargo list,DS-019,IBAMA environmental embargo registry,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA),canonicalized,high,1,1,1,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
landsat,landsat,DS-014,Landsat satellite imagery,U.S. Geological Survey / NASA,canonicalized,high,1,1,1,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
lista suja,lista suja,DS-024,Cadastro de Empregadores — trabalho análogo à escravidão (“Lista Suja”),Ministério do Trabalho e Emprego (Brazil),canonicalized,high,1,1,1,seed_term,seed term,Mapped by curated Stage B variant dictionary.
polygon datasets,polygon datasets,,,,generic_cue_not_canonicalized,low,1,1,1,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
sentinel-2,sentinel 2,DS-015,Copernicus Sentinel satellite imagery,European Space Agency / Copernicus,canonicalized,high,1,1,1,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
