rank,dataset_id,preferred_dataset_name,dataset_provider,dataset_type,geography,documents_referencing,percent_of_124_document_corpus,doc_ids,document_titles,total_raw_mention_rows,total_page_occurrences,original_names_observed_in_crosswalk,preferred_access_url,canonical_apa_reference
12,DS-009,GLAD Deforestation Alerts,University of Maryland GLAD Lab / Global Forest Watch,near-real-time deforestation alert dataset,Tropics,15,12.1,DOC-005; DOC-010; DOC-024; DOC-027; DOC-045; DOC-068; DOC-085; DOC-088; DOC-097; DOC-109; DOC-112; DOC-118; DOC-119; DOC-121; DOC-123,"Operational Guidance: Supply Chain Management; TerraFund MRV Feb 2023 (Updated July 2024); Cocoa Insight; DIASCA Forest Monitoring Guidance; Common Guidance for the Management & Monitoring of HCV; LDC DCF Methodology FINAL; DD 14 Deforestation Risk Assessment Guide; EU Regulation on Deforestation-Free Products: Reference Document for Cocoa Producers and Importers; The Rainforest Alliance Approach to EUDR; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Towards a digital public infrastructure for deforestation-related trade regulations, What is in that plot? (Whisp) solution to implement convergence of evidence; Deforestation Risk Assessment Methodology; Establishing best practices and evaluating data and methods for forest monitoring; GFW Pro Help Center; Global Forest Watch Pro Platform Analysis 11 05 2026",47,77,GLAD alerts; GLAD; deforestation alert system,https://www.globalforestwatch.org/blog/data-and-tools/glad-deforestation-alerts/,"Global Forest Watch. (2020). GLAD deforestation alerts, explained. https://www.globalforestwatch.org/blog/data-and-tools/glad-deforestation-alerts/"
13,DS-019,IBAMA environmental embargo registry,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA),environmental embargo/compliance list,Brazil,13,10.5,DOC-002; DOC-016; DOC-036; DOC-056; DOC-057; DOC-058; DOC-059; DOC-060; DOC-091; DOC-106; DOC-109; DOC-120; DOC-124,"Socio-Environmental Criteria; Library; CGF Forest Positive Beef Roadmap Guidance V1.2; PROTOCOLO DE MONITORAMENTO DE FORNECEDORES DE GADO DA AMAZÔNIA; Soja sem desmatamento nas entrelinhas: Um guia para transparência. Soja na Linha; Guia para a cadeia de valor da soja: Interpretando os relatórios de progresso de traders para compras livres de desmatamento e de conversão. Soja na Linha; Protocolo de monitoramento de fornecedores de gado na Amazônia; Minimum Criteria Booklet SOY ENG; Minimum Criteria Booklet CATTLE ENG; English piloto EUDR Proforest en 26 03 RF; tnc environmentalframeworksoy eng; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; ""BRAZIL-CHINA | COMPLIANCE WITH BRAZILIAN LEGISLATION AND ADDITIONAL CRITERIA FOR DEFORESTATION AND CONVERSION-FREE PRACTICE""; Minimum Monitoring Criteria for Deforestation and Conversion-Free (DCF) Products – for Commodities Originating in Brazil. - Sy Maize Cotton",33,51,IBAMA; embargo list; Embargo List,https://dadosabertos.ibama.gov.br/,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis. (n.d.). Dados abertos do IBAMA. https://dadosabertos.ibama.gov.br/
14,DS-003,DETER — Detecção do Desmatamento em Tempo Real,Instituto Nacional de Pesquisas Espaciais (INPE),near-real-time deforestation alert dataset,"Brazilian biomes, especially Amazon/Cerrado",13,10.5,DOC-003; DOC-005; DOC-027; DOC-045; DOC-058; DOC-059; DOC-060; DOC-091; DOC-104; DOC-106; DOC-109; DOC-120; DOC-124,"MORATÓRIA DA SOJA Desmatamento-zero na Amazônia Monitoramento da soja por imagens de satélites SAFRA 2022/23; Operational Guidance: Supply Chain Management; DIASCA Forest Monitoring Guidance; Common Guidance for the Management & Monitoring of HCV; Protocolo de monitoramento de fornecedores de gado na Amazônia; Minimum Criteria Booklet SOY ENG; Minimum Criteria Booklet CATTLE ENG; English piloto EUDR Proforest en 26 03 RF; Monitoring through satellite images: methodological supplement; tnc environmentalframeworksoy eng; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; ""BRAZIL-CHINA | COMPLIANCE WITH BRAZILIAN LEGISLATION AND ADDITIONAL CRITERIA FOR DEFORESTATION AND CONVERSION-FREE PRACTICE""; Minimum Monitoring Criteria for Deforestation and Conversion-Free (DCF) Products – for Commodities Originating in Brazil. - Sy Maize Cotton",18,20,DETER,https://terrabrasilis.dpi.inpe.br/,Instituto Nacional de Pesquisas Espaciais. (n.d.). DETER: Detecção do Desmatamento em Tempo Real. TerraBrasilis. https://terrabrasilis.dpi.inpe.br/
15,DS-011,JRC Tropical Moist Forest maps,European Commission Joint Research Centre,tropical moist forest extent/change dataset,Tropical moist forests,12,9.7,DOC-024; DOC-027; DOC-077; DOC-085; DOC-088; DOC-096; DOC-109; DOC-112; DOC-118; DOC-119; DOC-122; DOC-123,"Cocoa Insight; DIASCA Forest Monitoring Guidance; A comprehensive EUDR Guide; DD 14 Deforestation Risk Assessment Guide; EU Regulation on Deforestation-Free Products: Reference Document for Cocoa Producers and Importers; wcf quantis ghg accounting for cocoa 20250715; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Towards a digital public infrastructure for deforestation-related trade regulations, What is in that plot? (Whisp) solution to implement convergence of evidence; Deforestation Risk Assessment Methodology; Establishing best practices and evaluating data and methods for forest monitoring; WRI Cocoa DRA ghana; Global Forest Watch Pro Platform Analysis 11 05 2026",46,83,JRC,https://forobs.jrc.ec.europa.eu/TMF,European Commission Joint Research Centre. (n.d.). Tropical Moist Forest maps. https://forobs.jrc.ec.europa.eu/TMF
16,DS-021,CNUC — Cadastro Nacional de Unidades de Conservação,Ministério do Meio Ambiente e Mudança do Clima (Brazil),protected areas / conservation units registry,Brazil,11,8.9,DOC-001; DOC-002; DOC-003; DOC-016; DOC-036; DOC-056; DOC-091; DOC-104; DOC-106; DOC-109; DOC-120,"Cerrado Monitoring Report; Socio-Environmental Criteria; Library; MORATÓRIA DA SOJA Desmatamento-zero na Amazônia Monitoramento da soja por imagens de satélites SAFRA 2022/23; CGF Forest Positive Beef Roadmap Guidance V1.2; PROTOCOLO DE MONITORAMENTO DE FORNECEDORES DE GADO DA AMAZÔNIA; Soja sem desmatamento nas entrelinhas: Um guia para transparência. Soja na Linha; English piloto EUDR Proforest en 26 03 RF; Monitoring through satellite images: methodological supplement; tnc environmentalframeworksoy eng; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; ""BRAZIL-CHINA | COMPLIANCE WITH BRAZILIAN LEGISLATION AND ADDITIONAL CRITERIA FOR DEFORESTATION AND CONVERSION-FREE PRACTICE""",26,43,Conservation Units; Unidades de conservação; Unidades de Conservação; Conservation units; conservation units,https://www.gov.br/mma/pt-br/assuntos/biodiversidade-e-biomas/areas-protegidas/plataforma-cnuc-1,Ministério do Meio Ambiente e Mudança do Clima. (n.d.). Cadastro Nacional de Unidades de Conservação — CNUC. https://www.gov.br/mma/pt-br/assuntos/biodiversidade-e-biomas/areas-protegidas/plataforma-cnuc-1
17,DS-040,Agrosatélite mapping products,Agrosatélite,remote sensing / agricultural mapping product,Brazil / commodity-specific analyses,11,8.9,DOC-001; DOC-003; DOC-011; DOC-057; DOC-058; DOC-059; DOC-085; DOC-104; DOC-106; DOC-116; DOC-117,"Cerrado Monitoring Report; MORATÓRIA DA SOJA Desmatamento-zero na Amazônia Monitoramento da soja por imagens de satélites SAFRA 2022/23; SOY RISK 2022 Report, Apresentação do PowerPoint; Guia para a cadeia de valor da soja: Interpretando os relatórios de progresso de traders para compras livres de desmatamento e de conversão. Soja na Linha; Protocolo de monitoramento de fornecedores de gado na Amazônia; Minimum Criteria Booklet SOY ENG; DD 14 Deforestation Risk Assessment Guide; Monitoring through satellite images: methodological supplement; tnc environmentalframeworksoy eng; Progress Report & risk assessment methodology; Agricultural Sector Roadmap to 1.5 C",28,40,Agrosatélite; agrosatelite; Agrosatelite,https://www.agrosatelite.com.br/,Agrosatélite. (n.d.). Agrosatélite. https://www.agrosatelite.com.br/
18,DS-012,Copernicus Global Land Cover / Global Dynamic Land Cover,Copernicus Land Monitoring Service,global land-cover dataset,Global,10,8.1,DOC-022; DOC-025; DOC-027; DOC-085; DOC-088; DOC-097; DOC-109; DOC-118; DOC-119; DOC-122,Regulation on deforestation-free products; CELEX 32023R1115 EN TXT; DIASCA Forest Monitoring Guidance; DD 14 Deforestation Risk Assessment Guide; EU Regulation on Deforestation-Free Products: Reference Document for Cocoa Producers and Importers; The Rainforest Alliance Approach to EUDR; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Deforestation Risk Assessment Methodology; Establishing best practices and evaluating data and methods for forest monitoring; WRI Cocoa DRA ghana,14,17,Copernicus; copernicus,https://land.copernicus.eu/en/products/global-dynamic-land-cover,Copernicus Land Monitoring Service. (n.d.). Global Dynamic Land Cover. https://land.copernicus.eu/en/products/global-dynamic-land-cover
19,DS-023,INCRA/SIGEF/SNCI rural land tenure geospatial systems,Instituto Nacional de Colonização e Reforma Agrária (INCRA),land tenure / property geospatial registry,Brazil,9,7.3,DOC-001; DOC-016; DOC-058; DOC-059; DOC-060; DOC-091; DOC-104; DOC-106; DOC-124,Cerrado Monitoring Report; CGF Forest Positive Beef Roadmap Guidance V1.2; Protocolo de monitoramento de fornecedores de gado na Amazônia; Minimum Criteria Booklet SOY ENG; Minimum Criteria Booklet CATTLE ENG; English piloto EUDR Proforest en 26 03 RF; Monitoring through satellite images: methodological supplement; tnc environmentalframeworksoy eng; Minimum Monitoring Criteria for Deforestation and Conversion-Free (DCF) Products – for Commodities Originating in Brazil. - Sy Maize Cotton,20,29,INCRA; SIGEF; SNCI,https://sigef.incra.gov.br/,Instituto Nacional de Colonização e Reforma Agrária. (n.d.). Sistema de Gestão Fundiária — SIGEF. https://sigef.incra.gov.br/
20,DS-016,MODIS satellite data,NASA,remote sensing imagery/source,Global,8,6.5,DOC-001; DOC-019; DOC-027; DOC-085; DOC-104; DOC-109; DOC-110; DOC-122,Cerrado Monitoring Report; Econometrica Review of Deforestation Risk Maps 1; DIASCA Forest Monitoring Guidance; DD 14 Deforestation Risk Assessment Guide; Monitoring through satellite images: methodological supplement; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Forest Data Partnership (Transparent Supply Chains); WRI Cocoa DRA ghana,19,30,MODIS,https://modis.gsfc.nasa.gov/data/,National Aeronautics and Space Administration. (n.d.). MODIS data. https://modis.gsfc.nasa.gov/data/
21,DS-022,WDPA — World Database on Protected Areas,UNEP-WCMC & IUCN,protected areas database,Global,8,6.5,DOC-048; DOC-085; DOC-092; DOC-098; DOC-099; DOC-109; DOC-112; DOC-123,"HCVCommonGuide English 07 17 web; DD 14 Deforestation Risk Assessment Guide; Protecting Forests Open Data Proforest Report; Assessment framework (Version 1.0); Landscale ASSESSMENT FRAMEWORK, ASSESSMENT GUIDELINES | VERSION 1.1; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Towards a digital public infrastructure for deforestation-related trade regulations, What is in that plot? (Whisp) solution to implement convergence of evidence; Global Forest Watch Pro Platform Analysis 11 05 2026",17,28,WDPA; World Database on Protected Areas,https://www.protectedplanet.net/,UNEP-WCMC & IUCN. (2026). Protected Planet: The World Database on Protected Areas. https://www.protectedplanet.net/
22,DS-013,ESA WorldCover,European Space Agency,global land-cover dataset,Global,8,6.5,DOC-020; DOC-027; DOC-068; DOC-085; DOC-109; DOC-112; DOC-118; DOC-119,"211224 herewegrow enveritas deforestation white paper web; DIASCA Forest Monitoring Guidance; LDC DCF Methodology FINAL; DD 14 Deforestation Risk Assessment Guide; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Towards a digital public infrastructure for deforestation-related trade regulations, What is in that plot? (Whisp) solution to implement convergence of evidence; Deforestation Risk Assessment Methodology; Establishing best practices and evaluating data and methods for forest monitoring",23,26,ESA,https://esa-worldcover.org/en,European Space Agency. (n.d.). ESA WorldCover. https://esa-worldcover.org/en
23,DS-030,Whisp — convergence-of-evidence forest-data solution,Forest Data Partnership / AIM4Forests,convergence-of-evidence forest data solution,Global / EUDR-relevant plots,7,5.6,DOC-085; DOC-092; DOC-096; DOC-109; DOC-111; DOC-112; DOC-119,"DD 14 Deforestation Risk Assessment Guide; Protecting Forests Open Data Proforest Report; wcf quantis ghg accounting for cocoa 20250715; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; FAO Smallholder Data Governance PbN Study Presentation Nov25; Towards a digital public infrastructure for deforestation-related trade regulations, What is in that plot? (Whisp) solution to implement convergence of evidence; Establishing best practices and evaluating data and methods for forest monitoring",28,62,WHISP; whisp; Whisp,https://www.forestdatapartnership.org/news-events/supporting-eudr-compliance-with-whisp,Forest Data Partnership. (n.d.). Supporting EUDR compliance with Whisp. https://www.forestdatapartnership.org/news-events/supporting-eudr-compliance-with-whisp
24,DS-010,RADD Forest Disturbance Alerts,"Wageningen University, Satelligence & World Resources Institute",radar-based deforestation alert dataset,Tropical forests; initially palm-risk geographies,7,5.6,DOC-027; DOC-085; DOC-109; DOC-112; DOC-118; DOC-121; DOC-123,"DIASCA Forest Monitoring Guidance; DD 14 Deforestation Risk Assessment Guide; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Towards a digital public infrastructure for deforestation-related trade regulations, What is in that plot? (Whisp) solution to implement convergence of evidence; Deforestation Risk Assessment Methodology; GFW Pro Help Center; Global Forest Watch Pro Platform Analysis 11 05 2026",12,16,RADD; RADD alerts,https://satelligence.com/radd/,Satelligence. (n.d.). RADD: Public radar-based deforestation monitoring. https://satelligence.com/radd/
25,DS-027,Universal Mill List,Rainforest Alliance / World Resources Institute / Proforest / Daemeter,palm oil mill-location database,Global palm oil supply chains,6,4.8,DOC-021; DOC-074; DOC-101; DOC-109; DOC-122; DOC-123,Sector supply-chain guidance – palm; Guidance for refineries and other first aggregators: Using the IRF no-deforestation and no-peat template. NDPE Implementation Reporting Framework; universal mill list standardized methodology creating global database palm oil mills; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; WRI Cocoa DRA ghana; Global Forest Watch Pro Platform Analysis 11 05 2026,34,124,Universal Mill List; UML; UNIVERSAL MILL LIST,https://knowledge.rainforest-alliance.org/docs/the-universal-mill-list,Rainforest Alliance. (2026). The Universal Mill List. https://knowledge.rainforest-alliance.org/docs/the-universal-mill-list
26,DS-037,Google Earth Engine,Google,geospatial analysis platform,Global,6,4.8,DOC-035; DOC-085; DOC-096; DOC-109; DOC-112; DOC-119,"TraceMark sustainable sourcing monitoring runs on Google Cloud; DD 14 Deforestation Risk Assessment Guide; wcf quantis ghg accounting for cocoa 20250715; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; Towards a digital public infrastructure for deforestation-related trade regulations, What is in that plot? (Whisp) solution to implement convergence of evidence; Establishing best practices and evaluating data and methods for forest monitoring",21,25,Google Earth Engine; Earth Engine,https://earthengine.google.com/,Google. (n.d.). Google Earth Engine. https://earthengine.google.com/
27,DS-006,MapBiomas Alerta,Projeto MapBiomas,deforestation alert validation platform/dataset,Brazil,6,4.8,DOC-058; DOC-059; DOC-060; DOC-109; DOC-120; DOC-124,"Protocolo de monitoramento de fornecedores de gado na Amazônia; Minimum Criteria Booklet SOY ENG; Minimum Criteria Booklet CATTLE ENG; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report; ""BRAZIL-CHINA | COMPLIANCE WITH BRAZILIAN LEGISLATION AND ADDITIONAL CRITERIA FOR DEFORESTATION AND CONVERSION-FREE PRACTICE""; Minimum Monitoring Criteria for Deforestation and Conversion-Free (DCF) Products – for Commodities Originating in Brazil. - Sy Maize Cotton",6,6,MAPBIOMAS Alerta; MapBiomas Alerta,https://alerta.mapbiomas.org/,Projeto MapBiomas. (n.d.). MapBiomas Alerta. https://alerta.mapbiomas.org/
28,DS-029,Forest 500 datasets,Global Canopy,company/financial institution assessment dataset,Global forest-risk commodity supply chains,5,4.0,DOC-007; DOC-030; DOC-031; DOC-085; DOC-109,AFI LUC and Emissions Guidance 09 2022 FINALIZED FROM AFi; Assessment methodology; Forest 500 Report; DD 14 Deforestation Risk Assessment Guide; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report,32,101,Forest 500; FOREST 500,https://forest500.org/forest-500-data-methods/,Global Canopy. (n.d.). Forest 500 data and methods. https://forest500.org/forest-500-data-methods/
29,DS-039,Open Foris Collect Earth,Food and Agriculture Organization of the United Nations,land monitoring tool/platform,Global,5,4.0,DOC-010; DOC-027; DOC-092; DOC-112; DOC-119,"TerraFund MRV Feb 2023 (Updated July 2024); DIASCA Forest Monitoring Guidance; Protecting Forests Open Data Proforest Report; Towards a digital public infrastructure for deforestation-related trade regulations, What is in that plot? (Whisp) solution to implement convergence of evidence; Establishing best practices and evaluating data and methods for forest monitoring",11,14,Collect Earth; Open Foris,https://openforis.org/tools/collect-earth/,Food and Agriculture Organization of the United Nations. (n.d.). Open Foris Collect Earth. https://openforis.org/tools/collect-earth/
30,DS-002,PRODES Cerrado — Monitoramento Anual da Supressão da Vegetação Nativa no Cerrado,Instituto Nacional de Pesquisas Espaciais (INPE),forest/native vegetation suppression monitoring dataset,"Cerrado, Brazil",5,4.0,DOC-002; DOC-016; DOC-019; DOC-107; DOC-116,Socio-Environmental Criteria; Library; CGF Forest Positive Beef Roadmap Guidance V1.2; Econometrica Review of Deforestation Risk Maps 1; Supply chain mapping manual: SEI-PCS; Progress Report & risk assessment methodology,6,11,PRODES Cerrado,https://terrabrasilis.dpi.inpe.br/,Instituto Nacional de Pesquisas Espaciais. (n.d.). PRODES Cerrado: Monitoramento anual da supressão da vegetação nativa. TerraBrasilis. https://terrabrasilis.dpi.inpe.br/
31,DS-028,GeoRSPO,Roundtable on Sustainable Palm Oil (RSPO) / World Resources Institute,palm concession/mill geospatial platform,"RSPO member concessions globally, with restrictions in Indonesia",4,3.2,DOC-063; DOC-085; DOC-100; DOC-109,Guidance on the collection of polygon location data; DD 14 Deforestation Risk Assessment Guide; GeoRSPO platform (converted to PDF from Website); TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report,10,23,GeoRSPO,https://rspo.org/as-an-organisation/tools/georspo/,Roundtable on Sustainable Palm Oil. (n.d.). GeoRSPO. https://rspo.org/as-an-organisation/tools/georspo/
32,DS-024,Cadastro de Empregadores — trabalho análogo à escravidão (“Lista Suja”),Ministério do Trabalho e Emprego (Brazil),labor compliance registry/list,Brazil,4,3.2,DOC-036; DOC-057; DOC-106; DOC-116,PROTOCOLO DE MONITORAMENTO DE FORNECEDORES DE GADO DA AMAZÔNIA; Guia para a cadeia de valor da soja: Interpretando os relatórios de progresso de traders para compras livres de desmatamento e de conversão. Soja na Linha; tnc environmentalframeworksoy eng; Progress Report & risk assessment methodology,4,7,Lista Suja; lista suja,https://www.gov.br/trabalho-e-emprego/,Ministério do Trabalho e Emprego. (n.d.). Cadastro de Empregadores que submeteram trabalhadores a condições análogas à escravidão. https://www.gov.br/trabalho-e-emprego/
33,DS-036,Terra-i,Alliance of Bioversity International and CIAT / partners,land-cover change / deforestation monitoring system,Latin America / tropics,4,3.2,DOC-005; DOC-045; DOC-086; DOC-109,Operational Guidance: Supply Chain Management; Common Guidance for the Management & Monitoring of HCV; DD 16 Digital Tools for Responsible Sourc; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report,4,4,Terra-i; Terra-I,https://www.terra-i.org/,Terra-i. (n.d.). Terra-i. https://www.terra-i.org/
34,DS-031,Preferred by Nature Sourcing Hub risk data,Preferred by Nature,country/commodity risk assessment data,Global / country risk profiles,3,2.4,DOC-081; DOC-084; DOC-109,Preferred by Nature Risk Assessment Methodology (converted to PDF from Website); DD 10 Supply Chain Risk Analysis Guide v1; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report,12,23,Sourcing Hub; Preferred by Nature Sourcing Hub,https://sourcinghub.preferredbynature.org/,Preferred by Nature. (n.d.). Sourcing Hub. https://sourcinghub.preferredbynature.org/
35,DS-033,FAOSTAT,Food and Agriculture Organization of the United Nations,statistical database,Global,3,2.4,DOC-096; DOC-107; DOC-113,"wcf quantis ghg accounting for cocoa 20250715; Supply chain mapping manual: SEI-PCS; Physical traceability in greenhouse gas accounting: A practical publication for companies, standards and verification bodies on how traceability and chain-of-custody apply to GHG accounting — Food & Agriculture sector",9,13,FAOSTAT,https://www.fao.org/faostat/,Food and Agriculture Organization of the United Nations. (n.d.). FAOSTAT. https://www.fao.org/faostat/
36,DS-032,Agroideal,Agroideal,territorial intelligence / commodity expansion platform,South America / commodity-specific,2,1.6,DOC-106; DOC-109,tnc environmentalframeworksoy eng; TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report,6,11,Agroideal,https://agroideal.org/,Agroideal. (n.d.). Agroideal. https://agroideal.org/
37,DS-034,OpenStreetMap,OpenStreetMap contributors / OpenStreetMap Foundation,open geographic database,Global,2,1.6,DOC-019; DOC-027,Econometrica Review of Deforestation Risk Maps 1; DIASCA Forest Monitoring Guidance,3,3,OSM; OpenStreetMap,https://www.openstreetmap.org/,OpenStreetMap contributors. (n.d.). OpenStreetMap. https://www.openstreetmap.org/
38,DS-038,SEPAL,Food and Agriculture Organization of the United Nations,cloud geospatial processing platform,Global,2,1.6,DOC-088; DOC-092,EU Regulation on Deforestation-Free Products: Reference Document for Cocoa Producers and Importers; Protecting Forests Open Data Proforest Report,3,3,SEPAL,https://sepal.io/,Food and Agriculture Organization of the United Nations. (n.d.). SEPAL. https://sepal.io/
39,DS-035,Imazon SAD — Sistema de Alerta de Desmatamento,Imazon,deforestation alert dataset,Brazilian Amazon,1,0.8,DOC-109,TFA Assessing Traceability Monitoring and Sustainability Initiatives in Key Soft Commodities Final Report,4,4,Imazon; SAD,https://imazon.org.br/,Imazon. (n.d.). Sistema de Alerta de Desmatamento (SAD). https://imazon.org.br/
